Место,Регистарски број,Назив на производителот на вино,Адреса на седиштето на производителот на вино,Капацитет за прием и преработка на грозје (тони)
Битола,Уп I бр.29-753/15,"ДПТУ ""КАРАЧИ увоз-извоз с.Сопотница Демир Хисар ДООЕЛ""
с. Сопотница Демир Хисар",с. Сопотница Демир Хисар,9000
Богданци,29-12114/3,"ДПТУУ ""ДЕХРИ"" ДООЕЛ",Ул.Маршал Тито бр.86,50
Валандово,"29-5547/2
29-16049/3
16-930/17","ДПTУ ""ВИЗБА ВАЛАНДОВО"" ДООЕЛ",ул.Никола Карев бр.6 Валандово,15000
Велес,08-5885/2,"ДПТУ ""ММ ИНВЕСТМЕНТ"" ДОО
Подружница Винарска визба Лозар Велес",Народен Фронт бр.5-3/1 Скопје,80т/ч
Велес,08-5986/3,"ДОО ""АГРО НИКОЛОВ",ул.4 Јули бр.1 Велес,150
Велес,29 - 6265/5,"Тристо Винарија"" ДООЕЛ","с. Сујаклари, Велес","0,6т/ч"
Велес,29-2911/2,Винарска визба „Велвин„ДООЕЛ,"ул.Васил Главинов бр.87,Велес",10
Велес,29-13335/2,"ДПТУ Шато Сопот ДОО, Скопје","ул. Населено место без уличен
систем бр.2, Новачани, Велес",70
Велес,29-6501/2,"ДПТУ""Изворно"" ДООЕЛ","с.Долно Врановци, Чашка",50
Гевгелија,08-5874/2,"РИГО ИМПЕКС"" ДОО-Скопје,","ул. Наум Наумовски Борче бр. 40, Скопје",20000
Гевгелија,,,,4000
Гевгелија,08-5713/2,"ДПТУ""КЕРЕМ""ДОО",ул.4јули бр.12 Гевгелија,20
Гевгелија,29-6539/2,"ДПТУ""РИЕКС"" ДООЕЛ с.Моин Гевгелија подружница РИВИН с.Моин Гевгелија","ул.Населено место без уличен систем бр.37 Моин, Гевгелија",12
Градско,"08-5353/2
Уп I бр.16-1238/17","СТОБИ"" ДООЕЛ",ул. Автопат бр.2 Градско  Градско,6000
Демир Капија,08-5714/2,"ДПП  "" Винарска Визба"" ПОПОВА КУЛА""
АД Демир Капија","ул.Булевар на виното бр.1 Демир
Капија",1000
Демир Капија,08-5419/2,"ДТП  ""ФИЛЕ"" ДОО",ул.11 Октомври бр 23а-1/1 Скопје,50
